brand,model,year,trim_version,price,location,mileage,fuel_type,gearbox,body_condition,body_color,interior_color,ad_url,scrape_date,car_age
فونیکس,آریزو 6 پرو,1403,اتوماتیک,1950000000.0,مشهد/هفتتیر,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-vidzuc9i-fownix-arrizo6pro-1403,2025-06-08 18:55:32.825210,1
جک,جی 4,1404,اتوماتیک,950000000.0,تهران/پیروزی,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-nl63txqv-jac-j4-1404,2025-06-08 18:55:27.009210,0
ام,وی ام، X33 کراس,1404,اتوماتیک,710000000.0,تهران/یوسفآباد,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-fxmz5fx7-mvm-x33cross-at-1404,2025-06-08 18:55:21.001942,0
کوییک,دنده ای S,1404,دنده‌ای,253000000.0,کرج/عظیمیه,0,بنزینی,دنده‌ای,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-cmgwjtnz-quick-manuals-1404,2025-06-08 18:55:19.685057,0
ریسپکت,پرایم,1403,تیپ2,800000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-nzm5jyva-respect-prime-type2-1403,2025-06-08 18:55:17.218728,1
فیدلیتی,پرایم,1403,تیپ2هفتنفره,1384000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-3uswmnve-fidelity-prime-7seater-1403,2025-06-08 18:55:11.571557,1
کی,ام سی، T9,1404,2لیترتوربو,1450000000.0,تهران/تهرانپارسشرقی,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-erkjnnoa-kmc-t9-2literturbo-1404,2025-06-08 18:54:58.932426,0
کی,ام سی، X5,1404,1.5لیترتوربو,1000000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-fuv7ymwk-kmc-x5-1.5literturbo-1404,2025-06-08 18:54:49.790845,0
فونیکس,آریزو 8,1404,اکسلنت,1700000000.0,تهران/سهروردی,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-i0qzprbu-fownix-arrizo8-excellent-1404,2025-06-08 18:54:42.293715,0
ام,وی ام، X33 کراس,1404,اتوماتیک,486800000.0,تهران/سعادت‌آباد,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-dsnoiwwp-mvm-x33cross-at-1404,2025-06-08 18:54:35.530065,0
بی,ای سی، X3 PRO,1404,1.5لیتر,600000000.0,تهران/تهرانپارسشرقی,0,بنزینی,اتوماتیک,بدون رنگ,خاکستری,داخل خاکستری,https://bama.ir/car/detail-ovu5s6jn-bac-x3pro-1.5liter-1404,2025-06-08 18:54:29.151572,0
کی,ام سی، J7,1404,اتوماتیک,1100000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,خاکستری,داخل مشکی,https://bama.ir/car/detail-fufrihgn-kmc-j7-1404,2025-06-08 18:54:24.645760,0
فونیکس,آریزو 6 جی تی,1404,اکسلنت,1100000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخلمارون,https://bama.ir/car/detail-oqbomgg4-fownix-arrizo6gt-excellent-1404,2025-06-08 18:54:18.173487,0
